site,depth_num,treatment,depth,KCL_ug_NO3_N_g_soil,KCL_ug_NH4_N_g_soil,bulk_density
APP1,1,soy,0-1,0,0.562550604,1.297530069
APP1,2,soy,2-Jan,1.819409598,0.50407439,1.320107388
APP1,3,soy,3-Feb,5.529916014,0.435551601,1.31020189
APP1,4,soy,4-Mar,8.581825032,0.303983196,1.349879725
APP1,5,soy,5-Apr,34.79981721,0.308311601,1.429733677
APP1,6,soy,6-May,35.9794302,0.286759787,1.485021478
APP1,7,soy,7-Jun,32.44055469,0.290351408,1.483943299
APP1,8,soy,8-Jul,28.31185572,0.305916926,1.474892612
APPM,1,forest,0-1,0,0.344231421,1.297530069
APPM,2,forest,2-Jan,1.572837156,0.248445204,1.320107388
APPM,3,forest,3-Feb,0,0.09823565,1.31020189
APPM,4,forest,4-Mar,0,0.064655529,1.349879725
APPM,5,forest,5-Apr,0.446991966,0.192920876,1.429733677
APPM,6,forest,6-May,0,0.13315079,1.485021478
Cascavel,1,soy,0-1,0,0.200022326,1.108235968
Cascavel,2,soy,2-Jan,1.29080952,0.156065448,1.027766323
Cascavel,3,soy,3-Feb,1.075675935,0.01403758,1.005601375
Cascavel,4,soy,4-Mar,6.27733608,0,0.989278351
Cascavel,5,soy,5-Apr,9.1432443,0.032754325,1.102439863
Cascavel,6,soy,6-May,4.93658172,0.04269754,1.268006873
Cascavel,7,soy,7-Jun,1.689444792,0,1.30137457
Cascavel,8,soy,8-Jul,1.176914844,0.083812764,1.281408935
Nascente,1,soy,0-1,3.463403292,0.177218014,1.108235968
Nascente,2,soy,2-Jan,9.11793498,0.096962789,1.027766323
Nascente,3,soy,3-Feb,3.94904115,0.12747405,1.005601375
Nascente,4,soy,4-Mar,5.27103675,0.51454065,0.989278351
Nascente,5,soy,5-Apr,0,0.003179099,1.102439863
Nascente,6,soy,6-May,1.19860884,0,1.268006873
Nascente,7,soy,7-Jun,1.304370288,0,1.30137457
Nascente,8,soy,8-Jul,2.467725156,0.016101852,1.281408935
C-N,1,forest,0-1,2.006947221,0.295278725,1.108235968
C-N,2,forest,2-Jan,2.20513539,0,1.027766323
C-N,3,forest,3-Feb,1.704810504,0,1.005601375
C-N,4,forest,4-Mar,2.48309202,0,0.989278351
C-N,5,forest,5-Apr,1.482442248,0,1.102439863
C-N,6,forest,6-May,0,0.00514019,1.268006873
