site,depth_num,depth_name,treatment,AEC,pH_DI,ph_1M_KCl,bulk_density,years_soy,years_maize,years_since_deforested
APP2,1,0-1,forest,0.053187451,5.46,4.57,1.223069874,0,0,0
APP2,2,2-Jan,forest,0.204012003,5.55,5.18,1.172027491,0,0,0
APP2,3,3-Feb,forest,0.263955847,5.71,5.63,1.204467354,0,0,0
APP2,4,4-Mar,forest,0.247628533,5.88,5.91,1.22242268,0,0,0
APP2,5,5-Apr,forest,0.393764531,5.78,5.82,1.197955326,0,0,0
APP2,6,6-May,forest,0.236861389,5.95,5.87,1.174003436,0,0,0
APP2,7,7-Jun,forest,0.394215076,5.95,5.51,1.182714777,0,0,0
APP2,8,8-Jul,forest,0.285246091,5.98,5.47,1.247164948,0,0,0
APP2,1,0-1,forest,0.025912423,5.46,4.57,1.223069874,0,0,0
APP2,2,2-Jan,forest,0.198938132,5.55,5.18,1.172027491,0,0,0
APP2,3,3-Feb,forest,0.389305989,5.71,5.63,1.204467354,0,0,0
APP2,4,4-Mar,forest,0.38604167,5.88,5.91,1.22242268,0,0,0
APP2,5,5-Apr,forest,0.570993652,5.78,5.82,1.197955326,0,0,0
APP2,6,6-May,forest,0.348465613,5.95,5.87,1.174003436,0,0,0
APP2,7,7-Jun,forest,1.067450209,5.95,5.51,1.182714777,0,0,0
APP2,8,8-Jul,forest,0.428567489,5.98,5.47,1.247164948,0,0,0
APP2A,1,0-1,forest,0.268310455,3.98,3.91,1.108235968,0,0,0
APP2A,2,2-Jan,forest,0.81748234,4.58,4.26,1.027766323,0,0,0
APP2A,3,3-Feb,forest,1.317067079,4.99,4.69,1.005601375,0,0,0
APP2A,4,4-Mar,forest,1.287086228,5.48,5.36,0.989278351,0,0,0
APP2A,5,5-Apr,forest,1.547510883,5.91,5.47,1.102439863,0,0,0
APP2A,6,6-May,forest,1.261206964,5.75,5.47,1.268006873,0,0,0
APP2A,7,7-Jun,forest,2.143295759,6.01,5.38,1.30137457,0,0,0
APP2A,8,8-Jul,forest,,5.82,5.24,1.281408935,0,0,0
APP2A,1,2-Jan,forest,0.71219774,3.98,3.91,1.108235968,0,0,0
APP2A,2,3-Feb,forest,0.143455419,4.58,4.26,1.027766323,0,0,0
APP2A,3,4-Mar,forest,1.065101971,4.99,4.69,1.005601375,0,0,0
APP2A,4,5-Apr,forest,1.032974533,5.48,5.36,0.989278351,0,0,0
APP2A,5,6-May,forest,0.983255975,5.91,5.47,1.102439863,0,0,0
APP2A,6,7-Jun,forest,0.796024031,5.75,5.47,1.268006873,0,0,0
APP2A,7,8-Jul,forest,1.328058494,6.01,5.38,1.30137457,0,0,0
APP2A,8,0-1,forest,0.99447901,5.82,5.24,1.281408935,0,0,0
APPM,1,0-1,forest,,3.84,3.87,1.297530069,0,0,0
APPM,2,2-Jan,forest,0.853486828,5.19,4.33,1.320107388,0,0,0
APPM,3,3-Feb,forest,1.028766724,5.09,4.49,1.31020189,0,0,0
APPM,4,4-Mar,forest,1.299945641,5.49,4.94,1.349879725,0,0,0
APPM,5,5-Apr,forest,1.373086813,5.33,4.72,1.429733677,0,0,0
APPM,6,6-May,forest,1.286552239,5.49,4.69,1.485021478,0,0,0
APPM,1,0-1,forest,0.448639938,3.84,3.87,1.297530069,0,0,0
APPM,2,2-Jan,forest,1.796491803,5.19,4.33,1.320107388,0,0,0
APPM,3,3-Feb,forest,1.097769109,5.09,4.49,1.31020189,0,0,0
APPM,4,4-Mar,forest,2.364862094,5.49,4.94,1.349879725,0,0,0
APPM,5,5-Apr,forest,1.101133972,5.33,4.72,1.429733677,0,0,0
APPM,6,6-May,forest,0.798548985,5.49,4.69,1.485021478,0,0,0
CN,1,0-1,forest,1.01698897,4.13,3.92,1.108235968,0,0,0
CN,2,2-Jan,forest,2.160954793,4.92,4.36,1.027766323,0,0,0
CN,3,3-Feb,forest,1.238115247,5.38,4.8,1.005601375,0,0,0
